"filename", "language", "Python", "JSON", "comment", "blank", "total"
"e:\jupy_work\vansurv\__init__.py", "Python", 0, 0, 1, 0, 1
"e:\jupy_work\vansurv\chat_20250808.json", "JSON", 0, 21194, 0, 0, 21194
"e:\jupy_work\vansurv\constants.py", "Python", 14, 0, 2, 1, 17
"e:\jupy_work\vansurv\effects\__init__.py", "Python", 0, 0, 1, 0, 1
"e:\jupy_work\vansurv\effects\attack.py", "Python", 98, 0, 6, 8, 112
"e:\jupy_work\vansurv\effects\items.py", "Python", 50, 0, 3, 8, 61
"e:\jupy_work\vansurv\effects\particles.py", "Python", 25, 0, 0, 3, 28
"e:\jupy_work\vansurv\enemy.py", "Python", 81, 0, 5, 8, 94
"e:\jupy_work\vansurv\main.py", "Python", 154, 0, 39, 35, 228
"e:\jupy_work\vansurv\player.py", "Python", 90, 0, 16, 20, 126
"e:\jupy_work\vansurv\weapons\__init__.py", "Python", 0, 0, 1, 0, 1
"e:\jupy_work\vansurv\weapons\base.py", "Python", 16, 0, 1, 5, 22
"e:\jupy_work\vansurv\weapons\melee.py", "Python", 101, 0, 7, 15, 123
"e:\jupy_work\vansurv\weapons\projectile.py", "Python", 131, 0, 9, 24, 164
"Total", "-", 760, 21194, 91, 127, 22172